-----------------------------------------------------------
Server listening on 5006
-----------------------------------------------------------
Accepted connection from 172.16.0.2, port 44048
[  5] local 172.16.0.1 port 5006 connected to 172.16.0.2 port 44060
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  5.45 MBytes  45.7 Mbits/sec    0    387 KBytes       
[  5]   1.00-2.00   sec  4.25 MBytes  35.7 Mbits/sec    9    334 KBytes       
[  5]   2.00-3.00   sec  3.62 MBytes  30.4 Mbits/sec    0    375 KBytes       
[  5]   3.00-4.00   sec  3.12 MBytes  26.2 Mbits/sec    3    281 KBytes       
[  5]   4.00-5.00   sec  2.88 MBytes  24.1 Mbits/sec    0    308 KBytes       
[  5]   5.00-6.00   sec  3.00 MBytes  25.2 Mbits/sec    0    324 KBytes       
[  5]   6.00-7.00   sec  3.00 MBytes  25.2 Mbits/sec    0    331 KBytes       
[  5]   7.00-8.00   sec  3.00 MBytes  25.2 Mbits/sec    0    332 KBytes       
[  5]   8.00-9.00   sec  3.00 MBytes  25.2 Mbits/sec    0    332 KBytes       
[  5]   9.00-10.00  sec  3.00 MBytes  25.2 Mbits/sec    0    334 KBytes       
[  5]  10.00-11.00  sec  3.00 MBytes  25.2 Mbits/sec    0    341 KBytes       
[  5]  11.00-12.00  sec  3.00 MBytes  25.2 Mbits/sec    0    355 KBytes       
[  5]  12.00-13.00  sec  2.88 MBytes  24.1 Mbits/sec    0    382 KBytes       
[  5]  13.00-14.00  sec  3.12 MBytes  26.2 Mbits/sec    3    304 KBytes       
[  5]  14.00-15.00  sec  2.88 MBytes  24.1 Mbits/sec    0    344 KBytes       
[  5]  15.00-16.00  sec  3.00 MBytes  25.2 Mbits/sec    0    369 KBytes       
[  5]  16.00-17.00  sec  3.00 MBytes  25.2 Mbits/sec    0    383 KBytes       
[  5]  17.00-18.00  sec  3.00 MBytes  25.2 Mbits/sec    1    291 KBytes       
[  5]  18.00-19.00  sec  3.00 MBytes  25.2 Mbits/sec    0    313 KBytes       
[  5]  19.00-20.00  sec  3.00 MBytes  25.2 Mbits/sec    0    324 KBytes       
[  5]  20.00-21.00  sec  3.00 MBytes  25.2 Mbits/sec    0    327 KBytes       
[  5]  21.00-22.00  sec  3.00 MBytes  25.2 Mbits/sec    0    327 KBytes       
[  5]  22.00-23.00  sec  2.88 MBytes  24.1 Mbits/sec    0    327 KBytes       
[  5]  23.00-24.00  sec  3.12 MBytes  26.2 Mbits/sec    0    331 KBytes       
[  5]  24.00-25.00  sec  2.88 MBytes  24.1 Mbits/sec    0    342 KBytes       
[  5]  25.00-26.00  sec  3.00 MBytes  25.2 Mbits/sec    0    362 KBytes       
[  5]  26.00-27.00  sec  2.88 MBytes  24.1 Mbits/sec    5    272 KBytes       
[  5]  27.00-28.00  sec  3.12 MBytes  26.2 Mbits/sec    0    317 KBytes       
[  5]  28.00-29.00  sec  3.00 MBytes  25.2 Mbits/sec    0    352 KBytes       
[  5]  29.00-30.00  sec  3.00 MBytes  25.2 Mbits/sec    0    373 KBytes       
[  5]  30.00-31.00  sec  2.75 MBytes  23.1 Mbits/sec    2    328 KBytes       
[  5]  31.00-32.00  sec  3.25 MBytes  27.3 Mbits/sec    0    296 KBytes       
[  5]  32.00-33.00  sec  2.88 MBytes  24.1 Mbits/sec    0    314 KBytes       
[  5]  33.00-34.00  sec  3.00 MBytes  25.2 Mbits/sec    0    324 KBytes       
[  5]  34.00-35.00  sec  3.00 MBytes  25.2 Mbits/sec    0    327 KBytes       
[  5]  35.00-36.00  sec  2.88 MBytes  24.1 Mbits/sec    0    327 KBytes       
[  5]  36.00-37.00  sec  2.75 MBytes  23.1 Mbits/sec    0    327 KBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec    0    332 KBytes       
[  5]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0    344 KBytes       
[  5]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec    0    366 KBytes       
[  5]  40.00-41.00  sec  2.62 MBytes  22.0 Mbits/sec    6    274 KBytes       
[  5]  41.00-42.00  sec  1.38 MBytes  11.5 Mbits/sec    0    308 KBytes       
[  5]  42.00-43.00  sec   384 KBytes  3.15 Mbits/sec    0    339 KBytes       
[  5]  43.00-44.00  sec   512 KBytes  4.19 Mbits/sec    0    363 KBytes       
